"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"4961","DAPP1","blue",0.876467500443565,0.0102559070660156,0.342713565470569,-0.104145083990969,10.6782186721116,8.02932871511027
"4962","DARC","turquoise",0.268149609270356,-0.184504765045561,0.04094014184688,-0.476713234982026,2.06630815133703,0.16373742466755
"4963","DARS","blue",0.427801524661969,0.0764879918820521,0.486148078755514,-0.0972771312214729,6.11764622089479,2.9583188999683
"4964","DAXX","brown",0.530804527627865,-0.052639242012636,0.794619032774091,0.0343585883125061,25.2727737275791,15.4081490853809
"4965","ZBTB22","brown",0.592422692412288,-0.0503245081494034,0.231046111531701,-0.145746007595135,0.986542545069122,3.56942518756216
"4966","DAZAP1","brown",0.224145658640855,-0.0964063121239099,0.216054496417558,-0.158341102545561,7.31178002213524,3.49246477906606
"4967","DAZAP2","magenta",0.691156241761674,0.0274039563565748,0.605383247224084,0.0467795088137525,2.84386656939631,8.45676146239599
"4968","DAZL","turquoise",0.407226130745955,0.0255286676715255,0.00169999291888586,0.147814954223925,76.7515045295111,0.211332652030966
"4969","DBC1","yellow",0.0675760525868245,0.070707048932263,0.423163499171385,-0.0524983541184669,0.10408184807519,0.100615773153654
"4970","DBF4B","grey",0.588563804885857,-0.0249262621700106,0.708320074537655,0.0283631561150339,0.147846027968051,0.0533512445218322
"4971","DBF4","brown",0.920064291346035,0.00929674109288747,0.715056561832171,0.0540103524955315,10.8054622171962,8.49578204222517
"4972","SLC25A40","turquoise",0.660673269645619,-0.022358070424311,0.500605457666991,-0.0534337766705199,93.5224290548041,35.3806518744339
"4973","DBH","black",0.460137234805434,-0.054672221693655,0.901266982181021,-0.0131548946807949,0.882539560511107,0.458913643936671
"4974","DBN1","turquoise",0.0133131662050949,-0.076322430938698,0.886911167977659,0.00856836447199446,126.668588734502,18.1730438269981
"4975","DBNDD1","turquoise",0.693391291677874,-0.0134675331794379,0.186018424256274,0.0829027881422464,29.3575970646963,2.79293729401495
"4976","DBNDD2","grey",0.0270247450304189,-0.285630901852389,0.593094541322271,-0.102160783082995,0.00433306646957447,0.0281675406713448
"4977","DBNL","turquoise",0.142544596693158,-0.086852303487793,0.868545625422706,-0.014671740784196,10.3914938421743,0.244934668869189
"4978","DBP","turquoise",0.271781949529316,-0.0404121373844544,0.563202159711033,-0.0397540853672737,224.131949586201,40.7293798666653
"4979","SEC1","blue",0.452781094251321,0.0832905346175584,0.345107273842439,-0.15164213451558,9.30225542428009,20.1710292940967
"4980","DBR1","blue",0.331937808455986,-0.105180246958462,0.319994417055757,-0.168946696533722,3.65636394751058,3.3342243557244
"4981","DBT","turquoise",0.398797793017012,0.0446035291301712,0.726341996977183,-0.0280952073728294,0.577848980697243,0.117410982424988
"4982","DBX1","yellow",0.265282652920144,0.0628759383634825,0.0169578813697065,0.183480665647613,3.25281698057202,2.48710802171145
"4983","DBX2","turquoise",0.716962839374527,0.0138674650905111,0.726020357627883,0.0220600070949265,0.147843180032595,0.21820367272364
"4984","DCAF10","blue",0.619217708108368,0.0585782752977198,0.459803194715485,-0.138410351205146,7.67566914028608,8.73666210586072
"4985","DCAF11","blue",0.903777480459849,-0.0119752919525415,0.587703198568553,0.0810960565166368,7.80750125538894,24.4324884192368
"4986","DCAF12","grey",0.772263670094672,0.0132737724458758,0.159189114303996,0.102418184270279,0.00631645927684285,0.00194380581130906
"4987","DCAF12L1","red",0.136032310807318,0.0600306261234798,0.314480074982787,0.0535813531594967,66.2735864893168,56.9761567684326
"4988","DCAF12L2","red",0.800192089413603,-0.00895344285411766,0.48879467580159,0.0291239507079187,212.051046989282,192.176410110023
"4989","DCAF13","blue",0.532896803457427,-0.0321348818345991,0.0192408392107863,-0.188503807428276,0.5506249216024,0.683638134910537
"4990","SLC25A32","grey",0.682897150729903,-0.00950517658056087,0.128418919053497,-0.0501702479822023,0.00182138857222164,0.00258991610801034
"4991","PODNL1","grey",0.0372059559947469,-0.272976501031451,0.631332073942869,-0.0985690125255635,0.101862459989897,0.0633526726777379
"4992","METTL8","blue",0.382224544971454,-0.0599065428130658,0.370303199250131,-0.102972822741571,0.76318971414312,0.264600137311723
"4993","DCAF17","turquoise",0.507613588080229,-0.0337719549231126,0.250036908108613,-0.119383489164584,127.405369159287,21.4297804223537
"4994","DCAF4","turquoise",0.101089665660887,-0.0594501259005755,0.641705772237544,-0.030400858334387,168.287136344968,26.3577593565164
"4995","DCAF4L1","grey",0.52198028963536,-0.0544079010740824,0.0277759879041797,-0.273761156209168,0.610890629140336,0.0586613450111276
"4996","DCAF4L2","turquoise",0.878876611623655,0.00611314358235344,0.444357337166571,0.0552235496230721,65.9589229457266,1.17260340682312
"4997","DCAF5","turquoise",0.231597971465598,-0.0170637992642894,0.69589696471019,-0.00913738179098723,18.1969345244076,0.5686160619008
"4998","DCAF7","brown",0.950291296577726,-0.00750126037444319,0.752730916503131,-0.0589629382020142,4.65653539870509,4.52862436461631
"4999","DCAF8","purple",0.581887674310576,-0.0699985468173399,0.253598626538903,-0.232531106706509,2.79648633750064,0.348303184779224
"5000","DCAF8L1","red",0.803028701725095,-0.0149618648692514,0.0443413378386598,-0.182816007082631,73.3866841328758,64.4660356208608
"5001","DCAF8L2","red",0.553350343385361,-0.0279392926750452,0.994970719869872,0.000342097253994596,9.8478004483043,4.20233621053352
"5002","DCAKD","turquoise",0.376537743439888,-0.0509746057992826,0.0376622818096904,-0.210926607004916,36.7578743581856,2.30827020136733
"5003","NMT1","turquoise",0.376537743439888,-0.0509746057992826,0.0376622818096904,-0.210926607004916,36.7578743581856,2.30827020136733
"5004","DCBLD1","blue",0.0481143432238434,0.175901582823447,0.719854313407623,-0.0615237781113968,1.78096561260048,3.45754662140237
"5005","DCBLD2","turquoise",0.107435891016556,-0.0504379560710416,0.421819039185731,-0.0431172858680871,11.7954766861813,3.88542143771848
"5006","DCC","yellow",0.00015859324111848,0.335858963223637,0.0693463976952134,0.230334803527518,0.814106326476933,0.456055701871768
"5007","DCD","black",0.236329029999837,-0.118338661626344,0.270893734102679,-0.141718527610868,1.10563904302828,1.31881786417666
"5008","DCDC1","green",0.691354815908852,-0.0123740927116759,0.30958509959815,-0.0490096779937192,2.82482238711584,0.787529212141718
"5009","DNAJC24","turquoise",0.385624620611446,-0.0460442052199903,0.680620028836718,-0.038322308841098,47.5580286096528,3.60599898798619
"5010","DCDC2","turquoise",0.255741393982322,0.0443232266682536,0.427361538169688,-0.0473625979079489,0.744123893526024,0.494251427309239
"5011","DCDC2B","grey",0.0428015387906907,-0.185258944947224,0.0127842263360853,-0.28812347232246,0.017909421766487,0.0275262727240309
"5012","KAAG1","grey",0.0475333270782815,-0.10248453055887,0.715107399452282,-0.0248603110697283,0.00659110363140114,0.000423563153859235
"5013","DCHS1","turquoise",0.204951245069217,-0.0235884396250922,0.0128514711522119,-0.0781105533415588,22.0110497873808,0.906963070510219
"5014","DCHS2","yellow",0.418303555003302,0.0182438136362341,0.369047182177352,0.0291812666990362,1.5329887212852,0.341192421218654
